msno,city,bd,gender,registered_via,registration_init_time
user_0000000,16,31,,7,20161118
user_0000001,20,0,female,9,20160324
user_0000002,1,38,male,7,20151207
user_0000003,21,31,female,3,20161210
user_0000004,3,29,male,3,20150302
user_0000005,1,34,male,9,20150420
user_0000006,1,20,male,3,20150724
user_0000007,17,36,female,9,20160520
user_0000008,13,34,,9,20150408
user_0000009,1,33,female,4,20150222
user_0000010,12,36,male,3,20150901
user_0000011,21,15,female,3,20160912
user_0000012,9,0,male,3,20160330
user_0000013,1,15,male,4,20160122
user_0000014,1,43,,4,20151213
user_0000015,1,23,male,4,20150210
user_0000016,7,31,male,13,20160224
user_0000017,14,47,male,9,20150103
user_0000018,16,15,male,7,20161222
user_0000019,1,0,male,13,20161223
user_0000020,16,30,,3,20150114
user_0000021,15,36,male,3,20151229
user_0000022,1,42,male,7,20150713
user_0000023,9,22,male,3,20161129
user_0000024,4,2015,male,3,20150430
user_0000025,19,20,male,4,20150412
user_0000026,1,29,female,4,20150114
user_0000027,3,27,female,9,20151228
user_0000028,8,27,male,7,20151204
user_0000029,21,40,female,4,20160612
user_0000030,20,36,female,4,20150216
user_0000031,9,17,male,3,20150215
user_0000032,16,35,male,3,20160523
user_0000033,2,41,male,3,20160302
user_0000034,1,26,female,7,20160121
user_0000035,3,29,male,3,20170103
user_0000036,1,41,female,3,20150607
user_0000037,1,-1,male,3,20150712
user_0000038,8,44,,9,20160115
user_0000039,1,24,female,3,20150714
user_0000040,6,2015,male,3,20160221
user_0000041,13,26,female,9,20150712
user_0000042,18,32,female,4,20150320
user_0000043,9,1000,male,9,20160204
user_0000044,17,18,female,7,20151107
user_0000045,12,31,female,7,20150911
user_0000046,16,0,male,3,20150909
user_0000047,14,26,male,4,20160325
user_0000048,15,23,,4,20150329
user_0000049,1,33,,9,20170106
user_0000050,10,32,male,3,20150226
user_0000051,1,16,female,4,20150307
user_0000052,1,35,male,3,20161109
user_0000053,17,1000,female,4,20161217
user_0000054,11,32,female,3,20151204
user_0000055,10,34,male,3,20160816
user_0000056,20,18,female,9,20151213
user_0000057,1,38,female,3,20160424
user_0000058,1,34,female,13,20151116
user_0000059,1,33,male,4,20151008
user_0000060,14,27,female,7,20150723
user_0000061,10,39,female,7,20160804
user_0000062,1,38,male,7,20160924
user_0000063,1,38,male,3,20150418
user_0000064,10,1000,female,4,20160320
user_0000065,6,43,male,3,20150116
user_0000066,1,37,female,4,20151205
user_0000067,5,49,female,3,20160312
user_0000068,13,21,female,13,20160920
user_0000069,1,32,female,3,20150611
user_0000070,7,30,male,7,20150105
user_0000071,21,0,male,3,20150727
user_0000072,1,1000,female,9,20150412
user_0000073,21,27,,7,20150821
