msno,is_churn
user_0003467,0
user_0013353,0
user_0001676,1
user_0018112,0
user_0001639,0
user_0004095,0
user_0009659,0
user_0016392,1
user_0017440,0
user_0004190,0
user_0014650,0
user_0016645,0
user_0015461,0
user_0012024,0
user_0019730,0
user_0001887,0
user_0000495,0
user_0014683,0
user_0017348,1
user_0009918,0
user_0014665,0
user_0004537,0
user_0012705,1
user_0019291,1
user_0004492,1
user_0004787,0
user_0016026,0
user_0014363,0
user_0004406,0
user_0001513,0
user_0015770,1
user_0016319,0
user_0014536,0
user_0005473,0
user_0001427,1
user_0012510,1
user_0008445,0
user_0013148,1
user_0001410,0
user_0001373,0
user_0000828,0
user_0009393,0
user_0010164,0
user_0001964,0
user_0007367,0
user_0003088,1
user_0006480,0
user_0010171,0
user_0013966,0
user_0017119,0
user_0010678,0
user_0017130,0
user_0000262,0
user_0002581,0
user_0011327,0
user_0011276,0
user_0002502,0
user_0002495,0
user_0015032,0
user_0002732,0
user_0018786,0
user_0002822,0
user_0016820,0
user_0018598,0
user_0002849,0
user_0014941,1
user_0014934,0
user_0002963,0
user_0003303,1
user_0011748,0
user_0003355,0
user_0010237,0
user_0002180,0
user_0007489,0
user_0016693,0
user_0007487,0
user_0000419,0
user_0014726,0
user_0002582,0
user_0018721,0
user_0017857,0
user_0011453,0
user_0019275,0
user_0018800,0
user_0017860,0
user_0002416,0
user_0014454,0
user_0012621,0
user_0001300,0
user_0011286,0
user_0003808,0
user_0012589,1
user_0001880,0
user_0001246,0
user_0004611,0
user_0011925,0
user_0004828,0
user_0012014,0
user_0004796,0
user_0008987,0
user_0014397,0
user_0014705,0
user_0017784,0
user_0017785,0
user_0001101,1
user_0004612,0
user_0008955,0
user_0011212,0
user_0012035,0
user_0018296,0
user_0001890,0
user_0001199,0
user_0004650,0
user_0011414,0
user_0015070,0
user_0014401,0
user_0009390,0
user_0018538,0
user_0015094,0
user_0001751,0
user_0011699,0
user_0004186,0
user_0003947,0
user_0012215,0
user_0014579,1
user_0018057,0
user_0012256,1
user_0012342,0
user_0014813,0
user_0010563,0
