msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
user_0000000,37,180,699,699,0,20161118,20170517,1
user_0000001,36,30,149,149,1,20160324,20160423,0
user_0000001,41,30,149,149,1,20160423,20160523,0
user_0000001,41,30,149,149,1,20160523,20160622,0
user_0000001,41,410,1499,1499,1,20160622,20170806,0
user_0000002,40,90,399,399,0,20151207,20160306,1
user_0000003,41,30,149,119,1,20161210,20170109,0
user_0000003,41,90,399,399,1,20170109,20170409,0
user_0000004,38,90,399,399,1,20150302,20150531,1
user_0000005,36,30,149,149,1,20150420,20150520,0
user_0000005,37,30,149,149,1,20150520,20150619,0
user_0000005,39,410,1499,1349,1,20150619,20160802,0
user_0000005,41,30,149,134,1,20160802,20160901,0
user_0000005,41,30,149,149,1,20160901,20161001,0
user_0000005,40,30,149,149,1,20161001,20161031,0
user_0000005,36,410,1499,1499,1,20161031,20171215,0
user_0000006,33,30,149,149,1,20150724,20150823,0
user_0000006,41,90,399,399,1,20150823,20151121,0
user_0000006,41,180,699,699,1,20151121,20160519,0
user_0000006,37,30,149,149,1,20160519,20160618,0
user_0000006,40,410,1499,1499,1,20160618,20170802,0
user_0000007,41,30,149,149,1,20160520,20160619,0
user_0000007,41,90,399,399,1,20160619,20160917,0
user_0000007,41,30,149,149,1,20160917,20161017,0
user_0000007,37,30,149,149,1,20161017,20161116,0
user_0000007,37,90,399,399,1,20161116,20170214,0
user_0000007,31,90,399,399,1,20170214,20170515,0
user_0000008,40,30,149,149,1,20150408,20150508,0
user_0000008,40,410,1499,1499,1,20150508,20160621,0
user_0000008,36,90,399,399,1,20160621,20160919,0
user_0000008,40,90,399,399,1,20160919,20161218,0
user_0000008,39,30,149,149,1,20161218,20170117,0
user_0000008,37,90,399,399,1,20170117,20170417,0
user_0000009,41,90,399,399,1,20150222,20150523,1
user_0000010,31,30,149,149,1,20150901,20151001,0
user_0000010,41,30,149,149,1,20151001,20151031,0
